"Første vacc. dato","regionskode_current","Regionsnavn","Antal første vacc.","regionskode_num"
2021-03-23,1085,Sjælland,1958,1085
2021-03-24,1081,Nordjylland,1441,1081
2021-03-24,1082,Midtjylland,2908,1082
2021-03-24,1083,Syddanmark,1397,1083
2021-03-24,1084,Hovedstaden,1518,1084
2021-03-24,1085,Sjælland,2616,1085
2021-03-25,1081,Nordjylland,1025,1081
2021-03-25,1082,Midtjylland,2479,1082
2021-03-25,1083,Syddanmark,1511,1083
2021-03-25,1084,Hovedstaden,1817,1084
2021-03-25,1085,Sjælland,921,1085
2021-03-26,1081,Nordjylland,1111,1081
2021-03-26,1082,Midtjylland,1571,1082
2021-03-26,1083,Syddanmark,1168,1083
2021-03-26,1084,Hovedstaden,908,1084
2021-03-26,1085,Sjælland,1420,1085
2021-03-27,1081,Nordjylland,2343,1081
2021-03-27,1082,Midtjylland,436,1082
2021-03-27,1083,Syddanmark,1120,1083
2021-03-27,1084,Hovedstaden,2883,1084
2021-03-27,1085,Sjælland,3211,1085
2021-03-28,1081,Nordjylland,2948,1081
2021-03-28,1082,Midtjylland,838,1082
2021-03-28,1083,Syddanmark,1067,1083
2021-03-28,1084,Hovedstaden,2980,1084
2021-03-28,1085,Sjælland,2961,1085
2021-03-29,1081,Nordjylland,110,1081
2021-03-29,1082,Midtjylland,4514,1082
2021-03-29,1083,Syddanmark,1564,1083
2021-03-29,1084,Hovedstaden,8133,1084
2021-03-29,1085,Sjælland,3695,1085
2021-03-30,1081,Nordjylland,71,1081
2021-03-30,1082,Midtjylland,5514,1082
2021-03-30,1083,Syddanmark,2341,1083
2021-03-30,1084,Hovedstaden,9029,1084
2021-03-30,1085,Sjælland,4727,1085
2021-03-31,1081,Nordjylland,65,1081
2021-03-31,1082,Midtjylland,7238,1082
2021-03-31,1083,Syddanmark,2165,1083
2021-03-31,1084,Hovedstaden,2606,1084
2021-03-31,1085,Sjælland,1036,1085
2021-04-01,1081,Nordjylland,9,1081
2021-04-01,1082,Midtjylland,1201,1082
2021-04-01,1083,Syddanmark,1533,1083
2021-04-01,1084,Hovedstaden,456,1084
2021-04-01,1085,Sjælland,1011,1085
2021-04-02,1081,Nordjylland,1570,1081
2021-04-02,1082,Midtjylland,1233,1082
2021-04-02,1083,Syddanmark,1725,1083
2021-04-02,1084,Hovedstaden,362,1084
2021-04-02,1085,Sjælland,15,1085
2021-04-03,1081,Nordjylland,804,1081
2021-04-03,1082,Midtjylland,368,1082
2021-04-03,1083,Syddanmark,1797,1083
2021-04-03,1084,Hovedstaden,5736,1084
2021-04-03,1085,Sjælland,3427,1085
2021-04-04,1081,Nordjylland,1338,1081
2021-04-04,1082,Midtjylland,832,1082
2021-04-04,1083,Syddanmark,1378,1083
2021-04-04,1084,Hovedstaden,5649,1084
2021-04-04,1085,Sjælland,2495,1085
2021-04-05,1081,Nordjylland,1775,1081
2021-04-05,1082,Midtjylland,940,1082
2021-04-05,1083,Syddanmark,2274,1083
2021-04-05,1084,Hovedstaden,5764,1084
2021-04-05,1085,Sjælland,1579,1085
2021-04-06,1081,Nordjylland,2174,1081
2021-04-06,1082,Midtjylland,5191,1082
2021-04-06,1083,Syddanmark,2493,1083
2021-04-06,1084,Hovedstaden,3439,1084
2021-04-06,1085,Sjælland,2731,1085
2021-04-07,1081,Nordjylland,1545,1081
2021-04-07,1082,Midtjylland,6710,1082
2021-04-07,1083,Syddanmark,4049,1083
2021-04-07,1084,Hovedstaden,3438,1084
2021-04-07,1085,Sjælland,909,1085
2021-04-08,1081,Nordjylland,1228,1081
2021-04-08,1082,Midtjylland,4891,1082
2021-04-08,1083,Syddanmark,2257,1083
2021-04-08,1084,Hovedstaden,3488,1084
2021-04-08,1085,Sjælland,1889,1085
2021-04-09,1081,Nordjylland,531,1081
2021-04-09,1082,Midtjylland,1579,1082
2021-04-09,1083,Syddanmark,4307,1083
2021-04-09,1084,Hovedstaden,6029,1084
2021-04-09,1085,Sjælland,4051,1085
2021-04-10,1081,Nordjylland,1569,1081
2021-04-10,1082,Midtjylland,133,1082
2021-04-10,1083,Syddanmark,3045,1083
2021-04-10,1084,Hovedstaden,8950,1084
2021-04-10,1085,Sjælland,3081,1085
2021-04-11,1081,Nordjylland,715,1081
2021-04-11,1082,Midtjylland,172,1082
2021-04-11,1083,Syddanmark,2551,1083
2021-04-11,1084,Hovedstaden,8899,1084
2021-04-11,1085,Sjælland,2566,1085
2021-04-12,1081,Nordjylland,9822,1081
2021-04-12,1082,Midtjylland,20949,1082
2021-04-12,1083,Syddanmark,20035,1083
