"Faerdigvacc. dato","regionskode_current","Regionsnavn","Antal faerdigvacc.","regionskode_num"
2021-03-11,1082,Midtjylland,1269,1082
2021-03-11,1083,Syddanmark,381,1083
2021-03-11,1084,Hovedstaden,4426,1084
2021-03-11,1085,Sjælland,1171,1085
2021-03-12,1081,Nordjylland,1523,1081
2021-03-12,1082,Midtjylland,1013,1082
2021-03-12,1083,Syddanmark,2253,1083
2021-03-12,1084,Hovedstaden,4870,1084
2021-03-12,1085,Sjælland,990,1085
2021-03-13,1081,Nordjylland,2390,1081
2021-03-13,1082,Midtjylland,587,1082
2021-03-13,1083,Syddanmark,1953,1083
2021-03-13,1084,Hovedstaden,83,1084
2021-03-13,1085,Sjælland,928,1085
2021-03-14,1081,Nordjylland,2270,1081
2021-03-14,1082,Midtjylland,209,1082
2021-03-14,1083,Syddanmark,1987,1083
2021-03-14,1084,Hovedstaden,3250,1084
2021-03-14,1085,Sjælland,1688,1085
2021-03-15,1081,Nordjylland,1770,1081
2021-03-15,1082,Midtjylland,2806,1082
2021-03-15,1083,Syddanmark,1837,1083
2021-03-15,1084,Hovedstaden,2768,1084
2021-03-15,1085,Sjælland,730,1085
2021-03-16,1081,Nordjylland,59,1081
2021-03-16,1082,Midtjylland,3543,1082
2021-03-16,1083,Syddanmark,1471,1083
2021-03-16,1084,Hovedstaden,3547,1084
2021-03-16,1085,Sjælland,891,1085
2021-03-17,1081,Nordjylland,41,1081
2021-03-17,1082,Midtjylland,2844,1082
2021-03-17,1083,Syddanmark,1050,1083
2021-03-17,1084,Hovedstaden,4446,1084
2021-03-17,1085,Sjælland,834,1085
2021-03-18,1081,Nordjylland,104,1081
2021-03-18,1082,Midtjylland,1165,1082
2021-03-18,1083,Syddanmark,1033,1083
2021-03-18,1084,Hovedstaden,4423,1084
2021-03-18,1085,Sjælland,546,1085
2021-03-19,1081,Nordjylland,550,1081
2021-03-19,1082,Midtjylland,3078,1082
2021-03-19,1083,Syddanmark,3891,1083
2021-03-19,1084,Hovedstaden,1171,1084
2021-03-19,1085,Sjælland,3121,1085
2021-03-20,1081,Nordjylland,1776,1081
2021-03-20,1082,Midtjylland,22,1082
2021-03-20,1083,Syddanmark,2629,1083
2021-03-20,1084,Hovedstaden,83,1084
2021-03-20,1085,Sjælland,341,1085
2021-03-21,1081,Nordjylland,5,1081
2021-03-21,1082,Midtjylland,13,1082
2021-03-21,1083,Syddanmark,2511,1083
2021-03-21,1084,Hovedstaden,2093,1084
2021-03-21,1085,Sjælland,65,1085
2021-03-22,1081,Nordjylland,1410,1081
2021-03-22,1082,Midtjylland,2781,1082
2021-03-22,1083,Syddanmark,2220,1083
2021-03-22,1084,Hovedstaden,84,1084
2021-03-22,1085,Sjælland,1320,1085
2021-03-23,1081,Nordjylland,2257,1081
2021-03-23,1082,Midtjylland,3394,1082
2021-03-23,1083,Syddanmark,1368,1083
2021-03-23,1084,Hovedstaden,101,1084
2021-03-23,1085,Sjælland,498,1085
2021-03-24,1081,Nordjylland,429,1081
2021-03-24,1082,Midtjylland,1744,1082
2021-03-24,1083,Syddanmark,1215,1083
2021-03-24,1084,Hovedstaden,8630,1084
2021-03-24,1085,Sjælland,1515,1085
2021-03-25,1081,Nordjylland,212,1081
2021-03-25,1082,Midtjylland,1741,1082
2021-03-25,1083,Syddanmark,1285,1083
2021-03-25,1084,Hovedstaden,4557,1084
2021-03-25,1085,Sjælland,675,1085
2021-03-26,1081,Nordjylland,40,1081
2021-03-26,1082,Midtjylland,1412,1082
2021-03-26,1083,Syddanmark,3330,1083
2021-03-26,1084,Hovedstaden,2701,1084
2021-03-26,1085,Sjælland,407,1085
2021-03-27,1081,Nordjylland,279,1081
2021-03-27,1082,Midtjylland,176,1082
2021-03-27,1083,Syddanmark,2389,1083
2021-03-27,1084,Hovedstaden,41,1084
2021-03-27,1085,Sjælland,252,1085
2021-03-28,1081,Nordjylland,22,1081
2021-03-28,1082,Midtjylland,162,1082
2021-03-28,1083,Syddanmark,2594,1083
2021-03-28,1084,Hovedstaden,33,1084
2021-03-28,1085,Sjælland,14,1085
2021-03-29,1081,Nordjylland,111,1081
2021-03-29,1082,Midtjylland,2444,1082
2021-03-29,1083,Syddanmark,2509,1083
2021-03-29,1084,Hovedstaden,561,1084
2021-03-29,1085,Sjælland,619,1085
2021-03-30,1081,Nordjylland,316,1081
2021-03-30,1082,Midtjylland,2978,1082
2021-03-30,1083,Syddanmark,2003,1083
2021-03-30,1084,Hovedstaden,282,1084
2021-03-30,1085,Sjælland,526,1085
2021-03-31,1081,Nordjylland,1823,1081
2021-03-31,1082,Midtjylland,1673,1082
2021-03-31,1083,Syddanmark,1265,1083
2021-03-31,1084,Hovedstaden,3816,1084
2021-03-31,1085,Sjælland,1280,1085
2021-04-01,1081,Nordjylland,36,1081
2021-04-01,1082,Midtjylland,379,1082
2021-04-01,1083,Syddanmark,826,1083
2021-04-01,1084,Hovedstaden,4732,1084
2021-04-01,1085,Sjælland,1004,1085
2021-04-02,1081,Nordjylland,554,1081
2021-04-02,1082,Midtjylland,333,1082
2021-04-02,1083,Syddanmark,1945,1083
2021-04-02,1084,Hovedstaden,3740,1084
2021-04-02,1085,Sjælland,471,1085
2021-04-03,1081,Nordjylland,428,1081
2021-04-03,1082,Midtjylland,42,1082
2021-04-03,1083,Syddanmark,1048,1083
2021-04-03,1084,Hovedstaden,88,1084
2021-04-03,1085,Sjælland,592,1085
2021-04-04,1081,Nordjylland,511,1081
2021-04-04,1082,Midtjylland,55,1082
2021-04-04,1083,Syddanmark,932,1083
2021-04-04,1084,Hovedstaden,40,1084
2021-04-04,1085,Sjælland,256,1085
2021-04-05,1081,Nordjylland,610,1081
2021-04-05,1082,Midtjylland,150,1082
2021-04-05,1083,Syddanmark,522,1083
2021-04-05,1084,Hovedstaden,35,1084
2021-04-05,1085,Sjælland,12,1085
2021-04-06,1081,Nordjylland,129,1081
2021-04-06,1082,Midtjylland,2006,1082
2021-04-06,1083,Syddanmark,1891,1083
2021-04-06,1084,Hovedstaden,183,1084
2021-04-06,1085,Sjælland,1945,1085
2021-04-07,1081,Nordjylland,496,1081
2021-04-07,1082,Midtjylland,3874,1082
2021-04-07,1083,Syddanmark,1583,1083
2021-04-07,1084,Hovedstaden,582,1084
2021-04-07,1085,Sjælland,1797,1085
2021-04-08,1081,Nordjylland,975,1081
2021-04-08,1082,Midtjylland,2455,1082
2021-04-08,1083,Syddanmark,1594,1083
2021-04-08,1084,Hovedstaden,1680,1084
2021-04-08,1085,Sjælland,1942,1085
2021-04-09,1081,Nordjylland,1978,1081
2021-04-09,1082,Midtjylland,1304,1082
2021-04-09,1083,Syddanmark,1717,1083
2021-04-09,1084,Hovedstaden,3427,1084
2021-04-09,1085,Sjælland,328,1085
2021-04-10,1081,Nordjylland,1017,1081
2021-04-10,1082,Midtjylland,735,1082
2021-04-10,1083,Syddanmark,1304,1083
2021-04-10,1084,Hovedstaden,1298,1084
2021-04-10,1085,Sjælland,1125,1085
2021-04-11,1081,Nordjylland,1104,1081
2021-04-11,1082,Midtjylland,787,1082
2021-04-11,1083,Syddanmark,1088,1083
2021-04-11,1084,Hovedstaden,131,1084
2021-04-11,1085,Sjælland,829,1085
2021-04-12,1081,Nordjylland,64,1081
2021-04-12,1082,Midtjylland,1892,1082
2021-04-12,1083,Syddanmark,1551,1083
2021-04-12,1084,Hovedstaden,6892,1084
2021-04-12,1085,Sjælland,1175,1085
2021-04-13,1081,Nordjylland,445,1081
2021-04-13,1082,Midtjylland,1749,1082
2021-04-13,1083,Syddanmark,1222,1083
2021-04-13,1084,Hovedstaden,1075,1084
2021-04-13,1085,Sjælland,1792,1085
2021-04-14,1081,Nordjylland,707,1081
2021-04-14,1082,Midtjylland,2404,1082
2021-04-14,1083,Syddanmark,1553,1083
2021-04-14,1084,Hovedstaden,4560,1084
2021-04-14,1085,Sjælland,2005,1085
2021-04-15,1081,Nordjylland,1479,1081
2021-04-15,1082,Midtjylland,3075,1082
2021-04-15,1083,Syddanmark,1390,1083
2021-04-15,1084,Hovedstaden,1567,1084
2021-04-15,1085,Sjælland,1650,1085
2021-04-16,1081,Nordjylland,948,1081
2021-04-16,1082,Midtjylland,1451,1082
2021-04-16,1083,Syddanmark,1560,1083
2021-04-16,1084,Hovedstaden,3042,1084
2021-04-16,1085,Sjælland,1232,1085
2021-04-17,1081,Nordjylland,17,1081
2021-04-17,1082,Midtjylland,42,1082
2021-04-17,1083,Syddanmark,913,1083
2021-04-17,1084,Hovedstaden,200,1084
2021-04-17,1085,Sjælland,1580,1085
2021-04-18,1081,Nordjylland,3006,1081
2021-04-18,1082,Midtjylland,32,1082
2021-04-18,1083,Syddanmark,626,1083
2021-04-18,1084,Hovedstaden,180,1084
2021-04-18,1085,Sjælland,1317,1085
2021-04-19,1081,Nordjylland,2612,1081
2021-04-19,1082,Midtjylland,4867,1082
2021-04-19,1083,Syddanmark,1562,1083
